"","q_num","status_description","way_forward","file"
"1","2.2e","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","2.2e","Status description: - In 2018 was signed the agreement with Montenegro, on establishing good cooperation in transboundary lever for water resources management.- In 2019 was established the Special Commission on transboundary water administration, chaired by the deputy Minister of the Ministry for EU and Foreign affairs.-Also there has been an enormous work on transboundary water management, through the Drin Corda Project, under the Drin Core Group (Technical Secretariat for the GWP-Med).","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","2.2e","État d’avancement : L'Algérie partage avec les pays voisins des ressources en eau superficielles et souterraines plus ou moins importantes. Afin d’encadrer la gestion commune de ces ressources transfrontalières, des conventions, accords et instruments divers ont été établis entre l'Algérie et les pays voisins. Un mécanisme de coopération et de concertation sur la gestion du système aquifère du Sahara septentrionale (SASS) est fonctionnel depuis 2008,  il a ainsi permis d’ouvrir un nouveau chapitre de la coopération régionale dans le domaine de l’eau. Il s’agit en effet de la première structure de concertation dédiée à des ressources en eau souterraines transfrontalières en Afrique.Le mécanisme de concertation a contribué à l’amélioration de la connaissance et des collaborations techniques, a l’émergence d’une conscience de bassin partagé et permis le passage à la coopération sur le plan politique entre les pays riverains. une base de données et un modèle de simulation communs sont  opérationnels dans les trois pays concernés dont l’AlgérieUn examen approfondi de cette question a fait ressortir le fait que le score attribué en 2017 concernant a été surestimé. ","Perspectives pour l’avenir : ","Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","2.2e","Descripción de la situación: Existe un acuerdo con el Gobierno de la República Francesa para la gestión conjunta de la cuenca hidrográfica de las fuentes del Arieja. https://www.bopa.ad/bopa/024038/Pagines/78D62.aspx ","Formas de avanzar: ","Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","2.2e","Descrição da situação: A República de Angola partilha cinco (5) Bacias Hidrográficas Transfronteiriças, nomeadamente as Bacias Hidrográficas do Congo/Zaire; Cunene, Cubango, Cuvelai e Zambeze.  A República de Angola é parte signatária dos acordos de partilha de recursos hídricos destas BH. Existente nestas BH as seguintes Comissões Internacionais: CICOS (BH do Congo); ZAMCOM (BH do Zambeze); OKACOM (BH do Cubango), CUVECOM (BH do Cuvelai) e CTPC (BH do Cunene). ","Próximas medidas: Desenvolver os mecanismos de Gestão Optimizada dos Recursos Hídricos; Melhorar os mecanismos de partilha de dados/informação; Realização actividades conjuntas de medição de caudais e de avaliação impactes ambientais.","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","2.2e","Status description: N/A","Way forward: N/A","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","2.2e",NA,NA,"Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","2.2e","Status description: International transboundary matters are not applicable in Australia.","Way forward: ","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","2.2e","Status description: Austria is contracting party and active member in the International Commission for the protection of the Danube River (ICPDR) and observer in the river protection commissions for the Rhine (ICPR) and the Elbe (IKSE). Furthermore bilateral cross border water commissions with all relevant neighbour countries are in place and meeting on a regular basis. These Commissions covering all water issues on bilateral local and regional level and are coordinated by the Federal Ministry.","Way forward: No changes foreseen.","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","2.2e","Status description: There are some   commissions and working groups created on bilateral setting with Iran and Russia on joint use and protection of transboundary waters   ","Way forward: ","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
"11","2.2e","Status description: The Bahamas is an island nation with no transboundary freshwater. ","Way forward: N/A","Bahamas_651_2020_EN_Final_18.11.2020.docx"
"12","2.2e","Status description: There are no frameworks on sharing the management of the transboundary water resources.","Way forward: ","Bahrain_651_2020_EN_Final_22.12.2021.docx"
"13","2.2e",NA,NA,"Bangladesh_651_2020_EN_Final_3.11.2020.docx"
"14","2.2e","Status description: All IWRM plans are organised and executed at the national level","Way forward:","Barbados_651_2020_EN_Final_27.10.2020.docx"
"15","2.2e",NA,"Обмен информацией между правительством и частным сектором по вопросам освоения и использования водных ресурсов, а также управления ими не ведется.","Belarus_651_2020_RU_Final_16.07.2020.docx"
"16","2.2e","Status description: ","Way forward: ","Belgium_651_2020_EN_Final_1.10.2020.docx"
"17","2.2e","Status description: Water Commissioner for the country established.  This office holds bi-lateral meetings with Mexico.  Commission established under the OAS to address issues including water management with Guatemala.  The only formal framework which exists is for the Rio Hondo between Mexico and Belize even though Rio Hondo is also shared with Guatemala. The OAS has a commission established to discuss all bi-lateral issues with Guatemala across all sectors and not just for the water sector.","Way forward:","Belize_651_2020_EN_Final_01.07.2020.docx"
"18","2.2e",NA,NA,"Benin_651_2020_FR_Final_29.09.2020.docx"
"19","2.2e","Status description: No arrangements.","Way forward: ","Bhutan_651_2020_EN_Final_05.01.2021.docx"
"20","2.2e","Descripción de la situación: Se han establecido marcos institucionales en coordinación con el Ministerio de Relaciones Exteriores, se trabaja a través de comisiones bilaterales o multilaterales, que en el marco de las relaciones exteriores. ","Formas de avanzar: Acciones institucionales y de gestión, que además fomenten el desarrollo de capacidades orientadas a una mejor planificación de la GIRH a nivel transfronterizo. Se debe trabajar en la priorización de objetivos, que nos permitan la selección de una estrategia y generación de un plan en GIRH que considere a las cuencas transfronterizas. Continuar y reforzar estas acciones para mejorar la coordinación y la participación nacional a través de estas comisiones.","Bolivia_651_2020_ES_Final_24.09.2020.docx"
