"","q_num","status_description","way_forward","file"
"1","2.2f","Status description: Question has been revised in 2020 reporting round to cover all subnational levels. No data available from country from 2017.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","2.2f","Status description: There are 4 river basin administration offices that are depending from WRMA. RBAO VjoseRBAO Shkumbin-SemanRBAO Ishem-Erzen-MatRBAO Drin-Bune","Way forward:  Capacity building need to further be developed on sub-national level","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","2.2f","État d’avancement :La mise en œuvre de la stratégie sectorielle aux niveaux régionale et local se met en œuvre de la manière suivante : L’AGIRE dispose de ses déclinaisons régionales, constituées par les Agences de Bassins Hydrographiques (ABH), pour élaborer et développer les stratégies de gestion intégrée des ressources en eau au niveau de chaque région hydrographique ;Le ministère des ressources en eau est représenté au niveau des wilayas par les Directions des ressources en eau des wilayas (DREW) pour assurer la représentation de proximité et mettre en œuvre la politique sectorielle aux niveaux régionale et locale. Ces directions sont représentées au niveau des daïras (regroupement de plusieurs communes) par les subdivisions en tant que support technique et conseil aux Assemblées populaires Communales.Une coordination étroite est assurée entre les démembrements du secteur de l’eau et celui des collectivités locales, à travers notamment l’appui des organes régionaux et locaux du secteur des ressources en eau aux Assemblées populaires Communales responsables de l’hygiène et de la salubrité publique sur les territoires communaux.Depuis 2017, l’AGIRE s’est déployée à travers le territoire national et s’est vue dotée de moyens financier, humain et matériel qui lui ont permis une meilleure prise en charge des missions qui lui sont       assignées aux niveaux régional et local.","Perspectives pour l’avenir :Un diagnostique de l’organisation actuelle est en cours dans la perspective de son renforcement.","Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","2.2f","Descripción de la situación: ","Formas de avanzar: ","Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","2.2f","Descrição da situação: O Ministério da Energia e Águas, o Ministério da Agricultura e Pescas e o Ministério da Cultura, Turismo e Ambiente e o Ministério do Território e Reforma do Estado têm na sua orgânica, instituições que possuem a capacidade para liderar eficazmente a execução, a monitorização e a avaliação regular da implementação dos Planos Gerais de Gestão Integrada dos Recursos Hídricos.","Próximas medidas: O Estabelecimento de novos Gabinetes Regionais de Administração de Bacias Hidrográficas.","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","2.2f","Status description: N/A","Way forward: N/A","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","2.2f",NA,NA,"Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","2.2f","Status description: All Australian jurisdictions have the capacity to effectively lead water resource plan revisions. For example, all Basin states already undertake water resource planning to meet their own legislative requirements as well as ensuring that their state water resource plans are consistent with the Basin Plan. For example, Victoria has statutory water corporations and catchment management authorities with independent boards responsible for the formulation, implementation, evaluation and revision of plans for the management of water resources in their defined districts and catchments.","Way forward: As part of the Basin Plan, all Basin States are required to develop catchment-based WRP’s which set limits on the amount of water that can be extracted from the Basin water resources. As part of the accreditation process undertaken by the Commonwealth,  assessments are made against a range of criteria which includes a consideration of cross-boundary issues and integrated management approaches. ","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","2.2f","Status description: According to the Austrian constitution water policy is a national competence in Austria. The Austrian Water Act 1959 is a nationwide legislation.National River Basin Management Plans (RBMP) and Flood Risk Management Plans (FRMP) are designed and revised in a six years cycle due to defined processes, which are laid down in the Austrian Water Act 1959: RBMPs and FRMPs are drafted by the Federal Ministry and completed by the governors of the nine Bundesländer.Representatives of the Bundesländer as well as from the Federal Ministry form the delegation in bilateral water commissions.","Way forward: No changes foreseen.","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","2.2f","Status description: Some regional offices of MENR and Amelioration JSC conduct some activities towards water management by use of IWRM approach    ","Way forward: Adoption of Water Strategy will be significant step towards application of IWRM approach at different basin districts level ","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
