"","q_num","status_description","way_forward","file"
"1","3.1d","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","3.1d","Status description: Water quality guidelines, water quality monitoring program conducted by the National Environmental Agency  Economic tool: Decision no. 550, dated 15.7.2020 “On the adoption of application forms for approval, in principle, for the concession of use of water resources, the permit / authorization to use water resources, construction activities on the coast, construction activities  in the bottom of water resources, the discharge of liquids, use and reuse of wastewater, polluted water, associated documents, review and decision-making procedure, permission and authorization formats, of particulate conditions and terms of their validity ”.full transposition under process of the WFD and daughters’ directivesRiver Basin Management plans: 2 approved, 2 under preparation ","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","3.1d",NA,NA,"Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","3.1d","Descripción de la situación: En Andorra se hace seguimiento de los humedales mediante monitoreo anual. https://www.mediambient.ad/biodiversitat/zones-humides Seguimiento de la vegetación de los márgenes de los ríos. ","Formas de avanzar: ","Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","3.1d","Descrição da situação: Neste momento a República de Angola está munida da Lei de Bases do Ambiente, Regulamento para a Prevenção e Controlo da Poluição das Águas Nacionais; Regulamento sobre a Qualidade da Água;","Próximas medidas:  Necessidade da revisão do Regulamento sobre a Qualidade da Água; Incrementar a aplicação pratica dos restantes instrumentos de gestão.","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","3.1d","Status description: The legislation gives APUA a right to protect water courses utilised by the APUA and the public where they can institute a buffer zone of 30ft for building infrastructure, but enforcement is weak. Regarding the EPMA, there are plans to institute the Watershed committee which will further solidify the rules of the buffer zone and further protection of watercourses. ","Way forward: Increased synergy should be established between the Antigua Public Utility Authority and Department of Environment to increase data sharing and better achieve desired output.","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","3.1d",NA,"Very high (100)","Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","3.1d","Status description: Under the Australian federal structure of government responsibility, the day-to-day management of water lies with state and territory governments, including water dependent ecosystems. These governments have their own guidelines, regulations, policies, processes and standards for managing water to ensure that issues associated with water dependent ecosystems are adequately addressed. State and territory governments also undertake monitoring, assessment and reporting of water dependent ecosystems relating to their extent and quality, over time. This information informs SDG indicator 6.6.1 – change in extent of water dependent ecosystems over time. However, there are several pieces of national legislation that are relevant to the protection of water related eco-systems and environmental water requirements, including the Environment Protection and Biodiversity Conservation Act 1999 (the EPBC Act), the Water Act, and the Great Barrier Reef Marine Park Act 1975. The EPBC Act 1999 is the Australian Government’s principle piece of environmental legislation. It provides a legal framework to protect and manage nationally and internationally important flora, fauna, ecological communities, Ramsar wetlands and heritage places — defined in the EPBC Act as matters of national environmental significance. The Australian Government also manages marine reserves established under Australian environment law to help conserve the marine ecosystems.In addition, every five years the Australian Government conducts a comprehensive review of the state of the Australian environment. The National State of the Environment report provides information about environmental and heritage conditions, trends and pressures for the Australian continent, surrounding seas and Australia's external territories. The State of the Environment includes assessment using drainage divisions as the fundamental spatial unit for assessing the state of the inland water environment. The reporting also includes assessments of rainfall and runoff, changing land use and management, climate change, ecological processes and species populations, groundwater resources and overviews of effectiveness of management of inland water and resilience of inland water. Further information is available at https://soe.environment.gov.au/theme/inland-water The National Atlas of Groundwater Dependent Ecosystems (GDEs) published by BoM presents the current knowledge of groundwater dependent ecosystems across Australia. It displays ecological and hydrogeological information on known groundwater dependent ecosystems and ecosystems that potentially use groundwater. The Atlas is a tool to assist the consideration of ecosystem groundwater requirements in natural resource management, including water planning and environmental impact assessment. The Groundwater Dependent Ecosystems Atlas (GDE Atlas) was developed as a national dataset of Australian GDEs to inform groundwater planning and management. It is the first and only national inventory of GDEs in Australia. http://www.bom.gov.au/water/groundwater/gde/map.shtml","Way forward: The Australian Government is currently developing a National Wetlands Inventory.  This will bring together the current understanding of the status and trends of wetlands across Australia and assist in informing planning and management of these ecosystems. The information contained in the National Wetland Inventory will also facilitate reporting against SDG indicator 6.6.1.","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","3.1d","Status description: Major issue are basing on hydromorphological pressures and connected to ensure environmental flows I all surface waters, which are parts of the Program of Measures of the National River basin Management Plan. Water related ecosystems usually are part of Nature 2000 network and monitored under that framework.","Way forward: No changes foreseen.","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","3.1d","Status description:  Some water saving and protection work is being carried to improve state of water related ecosystems, but unfortunately still in result of uncontrolled water use and waste water discharges  some water bodies related ecosystems  aren’t in good status   because of not meeting environmental flow and other requirements ","Way forward: Application of water strategy is expected to allow to improve status of water related ecosystems ","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
