"","q_num","status_description","way_forward","file"
"1","4.2c","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","4.2c","Status description: The object of framework agreement (Albania-Montenegro) is the joint commitment to resolve all issues, including works and activities, as well as the facilitation of cooperation in the field of sustainable transboundary water management, from where both or one of the Parties are interested, due to their impact on changes in the quantity and quality of water.The costs of organizing and holding the session of the Commission for Management of Water Resources, meetings of subcommittees and meetings of experts will be covered by the Party in whose territory the international meeting will take place. The costs of attending the meeting of the Commission and other meetings shall be borne by each Party for its representatives.","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"3","4.2c",NA,NA,"Algeria_651_2020_FR_Final_21.10.2020.docx"
"4","4.2c","Puntuación","Descripción de la situación: ","Andorra_651_2020_ES_Final_18.09.2020.docx"
"5","4.2c","Descrição da situação: A República de Angola, contribui anualmente com quotas financeiras para o suporte das actividades das Comissões de Bacias Hidrográficas Internacionais, onde ela se encontra inserida. Adicionalmente, a participação de representantes angolanos em eventos organizados pela Comissões de Bacias Hidrográficas Transfronteiriças, é também suportada pela República de Angola.","Próximas medidas: Manter a regularidade das contribuições nas diferentes Comissões de Bacias Hidrográficas Transfronteiriças. ","Angola_651_2020_PT_Final_31.07.2020.docx"
"6","4.2c","Status description: ","Way forward: ","Antigua and Barbuda_651_2020_EN_Final_31.08.2020.docx"
"7","4.2c",NA,NA,"Armenia_651_2020_EN_Final_24.07.2020.docx"
"8","4.2c","Status description: International transboundary matters are not applicable in Australia.","Way forward: ","Australia_651_2020_EN_Final_12.08.2020.docx"
"9","4.2c","Status description: Financing Costs of the secretariats of international River Protection Commissions are covered by national contributions.","Way forward: Financial contributions for International River Protection Commissions are ensured.","Austria_651_2020_EN_Final_13.08.2020.docx"
"10","4.2c","Status description: Funding less than 50% of that expected as contributions and by regulation.","Way forward: Full funding of that expected as contributions and by regulation","Azerbaijan_651_2020_EN_Final_22.10.2020.docx"
"11","4.2c","Status description: The Bahamas is an island nation with no transboundary freshwater.","Way forward: N/A","Bahamas_651_2020_EN_Final_18.11.2020.docx"
"12","4.2c","Status description: There are no frameworks or any kind of agreements on sharing the management of the transboundary water resources.","Way forward: ","Bahrain_651_2020_EN_Final_22.12.2021.docx"
"13","4.2c","No specific funding allocated from the Member State (MS) budgets nor from other regular sources.",NA,"Bangladesh_651_2020_EN_Final_3.11.2020.docx"
"14","4.2c","Status description:","Way forward: As an island Barbados has no transboundary connections","Barbados_651_2020_EN_Final_27.10.2020.docx"
"15","4.2c",NA,NA,"Belarus_651_2020_RU_Final_16.07.2020.docx"
"16","4.2c","Status description: ","Way forward: ","Belgium_651_2020_EN_Final_1.10.2020.docx"
"17","4.2c","0",NA,"Belize_651_2020_EN_Final_01.07.2020.docx"
"18","4.2c",NA,NA,"Benin_651_2020_FR_Final_29.09.2020.docx"
"19","4.2c","","4.1 What is the status of financing for water resources development and management at the national level?","Bhutan_651_2020_EN_Final_05.01.2021.docx"
"20","4.2c","Puntuación","Descripción de la situación: Bolivia viene ejecutando el Plan Nacional de Cuencas (PNC), que surge de la necesidad de lograr superar diferentes problemas asociados a la gestión de los recursos hídricos a nivel nacional, el mismo tiene siete componentes que orientan las acciones sobre: 1) promoción y desarrollo de planes directores de cuencas, 2) implementación de proyectos GIRH/MIC, 3) gestión de riesgos hidrológicos y de cambio climático, 4) gestión de la calidad hídrica, 5) programa intercultural de cuencas pedagógicas, 6) gestión de sistemas de información y comunicación hídrico-ambiental, y 7) fortalecimiento institucional y desarrollo de capacidades para la gestión hídrico-ambiental.De acuerdo a los compromisos y desembolsos de los países y agencias de cooperación se contabiliza una ejecución en el período 2019 de Bs 77.549.097,4 (Setenta y siete millones quinientos cuarenta y nueve mil noventa y siete 41/100 bolivianos) que representa el 96% de lo programado para la gestión mencionada. Los fondos asignados estuvieron orientados a la formulación de políticas, el fortalecimiento institucional, la coordinación y participación de contrapartes locales, el desarrollo de capacidades y los instrumentos de gestión, también investigaciones y estudios referidos a medio ambiente, la recopilación de datos y el seguimiento.","Bolivia_651_2020_ES_Final_24.09.2020.docx"
