"","q_num","status_description","way_forward","file"
"1","1.1a","Status description: In May 2004, the Ministry of Energy and Water (MEW) developed an overall policy framework, “Strategic Policy Framework for the Water Sector”, providing principle directions for the water sector in Afghanistan. Approved by the Council of Ministers (the Cabinet) recently, the document addresses issues related to water resources management, irrigation, environment and similar areas. Considering the multiple challenges the country faces in the water sector, the policy framework calls for an integrated water resources management, based on the River Basin Approach. As it referenced it should be revised because, it has been expired. ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"2","1.1b","Status description: Water law (2009) is to enforce the principles of Article Nine of The Constitution of Afghanistan for the purpose of conservation, equitable distribution, and the efficient and sustainable use of water resources, to strengthen the national economy and secure the rights of the water users, in accordance with the principles of Islamic jurisprudence and the praiseworthy customs and traditions of the people.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"3","1.1c","Status description: To improve the livelihoods of the Afghan people of present and future generations by providing access to safe drinking water, household food security, and sources of income while protecting them from the negative effects of droughts and floods, by developing and managing water resources in a sustainable way with user participation, and by contributing to the growth of the national economy by providing effective services for efficient water use in all sectors The Water sector strategy is developed by March 15, 2007. Recently the Afghan Cabinet mentioned MEW to revise and provide a comprehensive water resource sector strategy up to end of this year 2017.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"4","1.2a","Status description: Policy and strategy of Water resource sector, Irrigation Policy, Integrated flood and Ground water policy. Policy and water Policy.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"5","1.2b","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"6","1.2c","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"7","1.2d","Status description: Question has been revised in 2020 reporting round to cover all subnational levels. No data available from country from 2017.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"8","2.1a","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"9","2.1b","Status description: Supreme council of land and water has been established as coordination body for implementation of IWRM concept into practice.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"10","2.1c","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"11","2.1d","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"12","2.1e","Status description: The score corresponds to 2.1f question from the 2017 survey.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"13","2.2a","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"14","2.2b","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"15","2.2c","Status description: New question added in 2020 reporting round. No data available from country from 2017.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"16","2.2d","Status description: This question is a combination of the old 2017 2.1e and 2.2c gender-questions at national and sub-national level.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"17","2.2e","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"18","2.2f","Status description: Question has been revised in 2020 reporting round to cover all subnational levels. No data available from country from 2017.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"19","3.1a","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"20","3.1b","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"21","3.1c","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"22","3.1d","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"23","3.1e","Status description: Separate institution adopted to take care on disaster management]","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"24","3.2a","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"25","3.2b","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"26","3.2c","Status description:","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"27","3.2d","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"28","4.1a","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"29","4.1b","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"30","4.2a","Status description:","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"31","4.2b","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"32","4.2c","Status description: ","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"33","4.2d","Status description: New question added in 2020 reporting round. No data available from country from 2017.","Way forward: ","Afghanistan_651_2020_EN_Final_05.01.2021.docx"
"34","1.1a","Status description: - Law 111/2012 ""On Water Resources Management"", amended in 2018 which also brought the establishment of the Water Resources Management Agency.- The Integrated Water Resources Management Strategy, adopted in February 2018, which we are experiencing difficulties on implementing.","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"35","1.1b","Status description: - Law 111/2012 ""On Water Resources Management"", amended in 2018 which also brought the establishment of the Water Resources Management Agency.- Law 9115, 24.07.2003 “On Environmental treatment of wastewater”- Albania is part of ESPOO Convention, which is ratified by law 9478, dated 16.2.2006;- Albania is part of Barcelona Convention, which is ratified by law 8690, dated 16.11.2000;- Albania is part of Helsinki Convention, which is ratified by law 29/2014, dated 27.03.2014;- Albania is part of MARPOL Convention, which is ratified by law 9594, dated 27.07.2006;- Albania is part of UNCLOS Convention, which is ratified by law 9055, dated 24.4.2003.","Way forward: -Through the project EUSIWM (European Union Support to Integrated Water Management), with support from ADA we are working on the transposition of the entire EU directives related to water, in order to have a complete framework for water resources management in Albania.- Also now we are on the process of adopting a new DCM on water use permits, and after that on the DCMs of water tariffs.","Albania_651_2020_EN_Final_24.09.2020.docx"
"36","1.1c","Status description: - The Integrated Water Resources Management Strategy, adopted in February 2018- The two RBMP for Drin-Buna and Seman were adopted from the National Water Council.- Semani RMBP was adopted by the Council of Ministers by DCM nr. 453, on 10.06.2020.- The Strategic Action Plan (SAP) for Drin River Basin is prepared and it was signed by the General Director of the WRMA.","Way forward:- The Drin-Buna RBMP is now in the process to be adopted by the Council of Ministers.- Through the EUSIWM Project we are preparing the RMBPs for Ishem-Erzen and Mati River Basin and also an analysis of the current situation for the Vjosa River Basin.","Albania_651_2020_EN_Final_24.09.2020.docx"
"37","1.2a","Status description: - The Integrated Water Resources Management Strategy, adopted in February 2018- The two RBMP for Drin-Buna and Seman were adopted from the National Water Council.- Semani RMBP was adopted by the Council of Ministers by DCM nr. 453, on 10.06.2020.- The Strategic Action Plan (SAP) for Drin River Basin is prepared and it was signed by the General Director of the WRMA.There are no explicit sub-national policies, national policies are being implemented at sub-national levels, i.e.: according to the new administrative territorial division and the river basins, specific regional administration offices operate for one or more river basins. There are 4 administration river basin offices that are depending from WRMA.","Way forward: - The Drin-Buna RBMP is now in the process to be adopted by the Council of Ministers.- Through the EUSIWM Project we are preparing the RMBPs for Ishem-Erzen and Mati River Basin and also an analysis of the current situation for the Vjosa River Basin.","Albania_651_2020_EN_Final_24.09.2020.docx"
"38","1.2b","Status description: - The two RBMP for Drin-Buna and Seman were adopted from the National Water Council.- Semani RMBP was adopted by the Council of Ministers by DCM nr. 453, on 10.06.2020.","Way forward:- The Drin-Buna RBMP is now in the process to be adopted by the Council of Ministers.","Albania_651_2020_EN_Final_24.09.2020.docx"
"39","1.2c","Status description: - The Memorandum of Understanding for the management of the extended transboundary Drin Basin (MoU - Tirana, Albania, 25 November 2011) signaled the initiation of coordinated action at the Drin Basin level (shared between Albania, Montenegro, North Macedonia, Kosovo and Greece), after the Drin Dialogue that launched on 1 December 2009, in Podgorica, Montenegro.- In 2018 was signed the agreement with Montenegro, on establishing good cooperation in transboundary lever for water resources management.- In 2019 was established the Special Commission on transboundary water administration, chaired by the deputy Minister of the Ministry for EU and Foreign affairs.","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"40","1.2d","Status description:DCM nr. 696, dated 30.10.2019 “For the determination of territorial, hydrographical borders, river basins, in the Republic of Albania and the center and compound of each River Basin Council”The Integrated Water Resources Management Strategy, adopted in February 2018Law 111/2012 ""On Water Resources Management"", amended in 2018 which also brought the establishment of the Water Resources Management AgencyThere are no explicit sub-national policies, national policies are being implemented at sub-national levels, i.e.: according to the new administrative territorial division and the river basins, specific regional administration offices operate for one or more river basins. There are 4 administration river basin offices that are depending from WRMA. ","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"41","2.1a","Status description: - In 2018 was established the Water Resources Management Agency (WRMA), which is the responsible authority for water resources management in Albania at national level. -the National Water Council is the highest decision-making body for water resources in Albania.- at regional level operate the River Basin Councils and River Basin Administration Offices which also serve as the executive body of the RBC.","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"42","2.1b","Status description: in October 2018, by the Prime Minister's Order, nr. 157, were created the IPMGs (Integrated Policies Management Groups) on different sectors, as well as on Integrated Water Management, which has two Thematic groups ""Water Reform"" leaded by the Ministry of Infrastructure and Energy and ""Water Resources"" lead by the WRMA. The last is a permanent group composed by representatives from Ministry of Infrastructure and Energy, Ministry of Agriculture and Rural Development, National Environmental Agency, Water Regulatory Entity, Ministry of Health and Social Welfare, Ministry of Tourism and Environment, Ministry of Finances and Economy, Ministry of Defence, Agency for water supply, waste water, and solid wastes management, National Agency of Protected Areas, Ministry for Europe and Foreign Affairs. ","Way forward: The IPMG and its thematic groups have their calendar of planed activities ad meeting agendas where they discuss and make decisions on the IWRM sector. ","Albania_651_2020_EN_Final_24.09.2020.docx"
"43","2.1c","Status description: Public is always aimed to get involved through invitations on different meetings and also through the publication of materials on the website.The Albanian parliament publishes yearly a report for public participation in the activity of permanent committees and parliamentary subcommittees Commission for Production Activities, Trade and Environment is responsible also for the water sector.  In the report for 2018 the Commission has held 6 public hearings with various representatives of the interests groups and has participated in a forum with civil society. In these hearings 34 representatives from civil society, interest groups and experts participated.The parliament publishes yearly a report for public participation in the activity of permanent committees and parliamentary subcommittees Commission for Production Activities, Trade and Environment is responsible also for the water sector. In the report for 2018 the Commission has held 6 public hearings with various representatives of the interests groups and has participated in a forum with civil society. In these hearings 34 representatives from civil society, interest groups and experts participated, of which 32 males and 2 females.","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"44","2.1d","Status description:  Private sector participation is achieved through their participation on the RBCs meetings and also through the participation on meetings through different projects.","Way forward: ","Albania_651_2020_EN_Final_24.09.2020.docx"
"45","2.1e","Status description: There are always ongoing activities and projects that aim capacity building in IWRM.  The main problem is people leaving the position and the new employees need for capacity building, so it will always be a continuous work.Actually there are two projects of which AMBU is beneficiary that contain components related to human resources development. Regarding the project EUSIWM, funded by EU and implemented by ADA, its third component is conducting a Capacity Development Plan for achieving appropriate capacities; and the establishment of a permanent learning and development platform as well as Short- and Long-term Trainings, Stakeholder Consultation & Involvement Plan. This relates not only to the River Basin management offices of the selected river basins under preparation of RBMPs, but also the main administration and the other offices. On the other hand a recent project signed with the Sweden International Development Agency, ‘Increasing the institutional capacities of the Water Resources Management Agency’ is expected to being initiated shortly and presuming to strengthen capacities of both central and regional administration.","Way forward:   At this moment we are being supported for capacity building, through the EUSIWM Project, at central offices and river basin offices level.","Albania_651_2020_EN_Final_24.09.2020.docx"
